numero_partido,partido,marcador_real,clasificado_octavos,criterio_clasificacion
73,South Africa vs Canada,South Africa 0 - 1 Canada,Canada,Resultado real: gana en tiempo reglamentario
74,Brazil vs Japan,Brazil 2 - 1 Japan,Brazil,Resultado real: gana en tiempo reglamentario
75,Germany vs Paraguay,Germany 1 - 1 Paraguay,Paraguay,Resultado real: clasifica por penales
76,Netherlands vs Morocco,Netherlands 1 - 1 Morocco,Morocco,Resultado real: clasifica por penales
77,Côte d'Ivoire vs Norway,Côte d'Ivoire 1 - 2 Norway,Norway,Resultado real: gana en tiempo reglamentario
78,France vs Sweden,France 3 - 0 Sweden,France,Resultado real: gana en tiempo reglamentario
79,Mexico vs Ecuador,Mexico 2 - 0 Ecuador,Mexico,Resultado real: gana en tiempo reglamentario
80,England vs Congo DR,England 2 - 1 Congo DR,England,Resultado real: gana en tiempo reglamentario
81,Belgium vs Senegal,Belgium 3 - 2 Senegal,Belgium,Resultado real: gana en tiempo reglamentario
82,United States vs Bosnia & Herzegovina,United States 2 - 0 Bosnia & Herzegovina,United States,Resultado real: gana en tiempo reglamentario
83,Spain vs Austria,Spain 3 - 0 Austria,Spain,Resultado real: gana en tiempo reglamentario
84,Portugal vs Croatia,Portugal 2 - 1 Croatia,Portugal,Resultado real: gana en tiempo reglamentario
85,Switzerland vs Algeria,Switzerland 2 - 0 Algeria,Switzerland,Resultado real: gana en tiempo reglamentario
86,Australia vs Egypt,Australia 1 - 1 Egypt,Egypt,Resultado real: clasifica por penales
87,Argentina vs Cape Verde Islands,Argentina 3 - 2 Cape Verde Islands,Argentina,Resultado real: gana en tiempo reglamentario
88,Colombia vs Ghana,Colombia 1 - 0 Ghana,Colombia,Resultado real: gana en tiempo reglamentario
