date,time,etapa,matchday,home_team,away_team,city,stadium,status,result,goles_local,goles_visitante,penales_local,penales_visitante,ganador_real,resultado_tipo
2026-06-11,14:00,Fase de grupos,1.0,Mexico,South Africa,Mexico City,Estadio Banorte,Played,2-0,2.0,0.0,,,Mexico,tiempo_reglamentario
2026-06-11,21:00,Fase de grupos,1.0,South Korea,Czechia,Zapopan,Estadio Akron,Played,2-1,2.0,1.0,,,South Korea,tiempo_reglamentario
2026-06-12,14:00,Fase de grupos,1.0,Canada,Bosnia & Herzegovina,Toronto,BMO Field,Played,1-1,1.0,1.0,,,Empate,empate
2026-06-12,20:00,Fase de grupos,1.0,USA,Paraguay,Inglewood,SoFi Stadium,Played,4-1,4.0,1.0,,,USA,tiempo_reglamentario
2026-06-13,14:00,Fase de grupos,1.0,Qatar,Switzerland,Santa Clara,Levi's Stadium,Played,1-1,1.0,1.0,,,Empate,empate
2026-06-13,17:00,Fase de grupos,1.0,Brazil,Morocco,East Rutherford,MetLife Stadium,Played,1-1,1.0,1.0,,,Empate,empate
2026-06-13,20:00,Fase de grupos,1.0,Haiti,Scotland,Boston,Gillette Stadium,Played,0-1,0.0,1.0,,,Scotland,tiempo_reglamentario
2026-06-13,23:00,Fase de grupos,1.0,Australia,Türkiye,Vancouver,BC Place,Played,2-0,2.0,0.0,,,Australia,tiempo_reglamentario
2026-06-14,12:00,Fase de grupos,1.0,Germany,Curaçao,Houston,NRG Stadium,Played,7-1,7.0,1.0,,,Germany,tiempo_reglamentario
2026-06-14,15:00,Fase de grupos,1.0,Netherlands,Japan,Arlington,AT&T Stadium,Played,2-2,2.0,2.0,,,Empate,empate
2026-06-14,18:00,Fase de grupos,1.0,Ivory Coast,Ecuador,Philadelphia,Lincoln Financial Field,Played,1-0,1.0,0.0,,,Ivory Coast,tiempo_reglamentario
2026-06-14,21:00,Fase de grupos,1.0,Sweden,Tunisia,Monterrey,Estadio BBVA,Played,5-1,5.0,1.0,,,Sweden,tiempo_reglamentario
2026-06-15,11:00,Fase de grupos,1.0,Spain,Cape Verde Islands,Atlanta,Mercedes-Benz Stadium,Played,0-0,0.0,0.0,,,Empate,empate
